master_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rf_score,segment,categories
13cc7d14-a76a-11e9-a2fc-000d3a38a36f,312,7.0,711.46,1,5,4,15,cant_loose,"[ERKEK, KADIN, AKTIFSPOR]"
13ec02d2-a513-11e9-a2fc-000d3a38a36f,192,13.0,2914.7799999999997,2,5,5,25,cant_loose,[ERKEK]
14028456-ad1c-11e9-a2fc-000d3a38a36f,253,8.0,1175.83,1,5,5,15,cant_loose,[COCUK]
14485136-9d8e-11e9-9897-000d3a38a36f,136,3.0,279.96,3,2,1,32,about_to_sleep,"[ERKEK, COCUK, KADIN]"
1456f408-1e7f-11ea-aa32-000d3a38a36f,118,2.0,244.6,3,1,1,31,about_to_sleep,"[AKTIFCOCUK, ERKEK, COCUK, KADIN]"
146b62d8-a5a5-11e9-a2fc-000d3a38a36f,187,10.0,1651.14,2,5,5,25,cant_loose,"[COCUK, KADIN, AKTIFSPOR]"
147f9228-9e19-11e9-9897-000d3a38a36f,283,7.0,903.4200000000001,1,5,4,15,cant_loose,[ERKEK]
1486e832-53dd-11ea-94d4-000d3a38a36f,138,2.0,272.83000000000004,3,1,1,31,about_to_sleep,[ERKEK]
14a26312-a417-11e9-a2fc-000d3a38a36f,111,3.0,962.96,3,2,4,32,about_to_sleep,"[COCUK, AKTIFSPOR]"
14c7daca-5f3c-11eb-a0da-000d3a38a36f,30,2.0,249.60000000000002,5,1,1,51,new_customers,"[COCUK, KADIN]"
14ce2424-5692-11ea-b9b9-000d3a38a36f,114,3.0,560.46,3,2,3,32,about_to_sleep,"[AKTIFCOCUK, KADIN, AKTIFSPOR]"
150bd982-da49-11ea-a65b-000d3a38a36f,119,3.0,524.56,3,2,3,32,about_to_sleep,"[ERKEK, COCUK, KADIN]"
1517dc4e-9f73-11e9-a2fc-000d3a38a36f,201,8.0,1318.37,2,5,5,25,cant_loose,[ERKEK]
157f926c-2b0a-11ea-9d27-000d3a38a36f,125,2.0,229.97,3,1,1,31,about_to_sleep,"[ERKEK, COCUK, KADIN, AKTIFSPOR]"
1583f892-a78a-11e9-a2fc-000d3a38a36f,330,10.0,1155.02,1,5,5,15,cant_loose,"[COCUK, KADIN, AKTIFSPOR]"
158a0ba0-ad8f-11e9-a2fc-000d3a38a36f,205,9.0,1070.66,2,5,5,25,cant_loose,"[ERKEK, AKTIFSPOR]"
1591a4c6-6d0d-11ea-84a8-000d3a38a36f,98,2.0,290.46999999999997,3,1,1,31,about_to_sleep,"[ERKEK, AKTIFSPOR]"
15aafbda-9dcc-11e9-9897-000d3a38a36f,185,7.0,1066.3899999999999,2,5,5,25,cant_loose,"[COCUK, KADIN]"
15ad2b5a-49ae-11eb-806e-000d3a38a36f,144,3.0,542.95,3,2,3,32,about_to_sleep,"[COCUK, KADIN]"
15b08212-46af-11ea-b6c0-000d3a38a36f,97,2.0,149.98,3,1,1,31,about_to_sleep,[COCUK]
